day_count,new_cases,total_cases,daily_death,total_dead,total_infected,recovery,total_recovered
15-Feb,0,28,0,0,19,0,9
16-Feb,1,29,0,0,20,0,9
17-Feb,1,30,0,0,20,0,10
18-Feb,1,31,0,0,19,2,12
19-Feb,27,58,0,0,42,4,12
20-Feb,53,111,1,1,94,0,16
21-Feb,98,209,1,2,190,1,16
22-Feb,227,436,0,2,416,1,16
23-Feb,166,602,4,6,578,0,18
24-Feb,231,833,2,8,803,4,18
25-Feb,144,977,3,11,944,0,22
26-Feb,284,1261,1,12,1225,2,22
27-Feb,505,1766,1,13,1729,0,22
28-Feb,571,2337,3,16,2297,0,22
29-Feb,813,3150,1,17,3109,0,27
1-Mar,586,3736,4,21,3685,6,30
2-Mar,599,4335,7,28,4277,0,30
3-Mar,851,5186,4,32,5120,4,30
4-Mar,435,5621,3,35,5498,54,41
5-Mar,663,6284,7,42,6107,47,41
6-Mar,309,6593,1,43,6415,0,135
7-Mar,448,7041,5,48,6875,-17,135
8-Mar,272,7313,2,50,7097,48,118
9-Mar,165,7478,3,53,7178,81,118
10-Mar,35,7513,7,60,7165,41,247
11-Mar,242,7755,0,60,7362,45,288
12-Mar,114,7869,6,66,7293,177,333
13-Mar,110,7979,1,67,7198,204,510
14-Mar,107,8086,5,72,7180,120,510
15-Mar,76,8162,3,75,7253,0,510
16-Mar,74,8236,0,75,7024,303,1137
17-Mar,84,8320,6,81,6838,264,1407
18-Mar,93,8413,3,84,6789,139,1540
19-Mar,152,8565,7,91,6527,407,1540
20-Mar,87,8652,3,94,6325,286,1540
21-Mar,147,8799,8,102,6085,379,1540
22-Mar,98,8897,2,104,5884,,2909
23-Mar,64,8961,7,111,5684,,2909
24-Mar,76,9037,9,120,5410,,3507
25-Mar,100,9137,6,126,5281,,3730
26-Mar,104,9241,5,131,4966,,4144
27-Mar,91,9332,8,139,4665,,4528
28-Mar,146,9478,5,144,4523,,4811
29-Mar,105,9583,8,152,4398,,5033
30-Mar,78,9661,6,158,4275,,5228
31-Mar,125,9786,4,162,4216,,5408
1-Apr,101,9887,3,165,4155,,5567
2-Apr,89,9976,4,169,3979,,5828
3-Apr,86,10062,5,174,3867,,6021
4-Apr,94,10156,3,177,3654,,6325
5-Apr,81,10237,6,183,3591,,6463
6-Apr,47,10284,3,186,3500,,6598
7-Apr,47,10331,6,192,3445,,6694
8-Apr,53,10384,8,200,3408,,6776
9-Apr,39,10423,4,204,3246,,6973
10-Apr,27,10450,4,208,3125,,7117
11-Apr,30,10480,3,211,3026,,7243
12-Apr,32,10512,3,214,2930,,7368
13-Apr,25,10537,3,217,2873,,7447
14-Apr,27,10564,5,222,2808,,7534
15-Apr,27,10591,3,225,2750,,7616
16-Apr,22,10613,4,229,2627,,7757
17-Apr,22,10635,1,230,2576,,7829
18-Apr,18,10653,2,232,2484,,7937
19-Apr,8,10661,2,234,2385,,8042
20-Apr,13,10674,2,236,2324,,8114
21-Apr,9,10683,1,237,2233,,8213
22-Apr,11,10694,1,238,2179,,8277
23-Apr,8,10702,2,240,2051,,8501
